"","taxon","lfc_(Intercept)","lfc_TreatmentRP-10","lfc_TreatmentRP-20","lfc_TreatmentRP-40","lfc_TreatmentRP-5","se_(Intercept)","se_TreatmentRP-10","se_TreatmentRP-20","se_TreatmentRP-40","se_TreatmentRP-5","W_(Intercept)","W_TreatmentRP-10","W_TreatmentRP-20","W_TreatmentRP-40","W_TreatmentRP-5","p_(Intercept)","p_TreatmentRP-10","p_TreatmentRP-20","p_TreatmentRP-40","p_TreatmentRP-5","q_(Intercept)","q_TreatmentRP-10","q_TreatmentRP-20","q_TreatmentRP-40","q_TreatmentRP-5","diff_(Intercept)","diff_TreatmentRP-10","diff_TreatmentRP-20","diff_TreatmentRP-40","diff_TreatmentRP-5","passed_ss_(Intercept)","passed_ss_TreatmentRP-10","passed_ss_TreatmentRP-20","passed_ss_TreatmentRP-40","passed_ss_TreatmentRP-5"
"1","d0e4b1fa370c69f7bf6edc0ee3bd8721",0.0364444988716731,3.76474079735584e-06,0.000586246614453723,0.854966602770956,-4.82254396386457e-05,0.0139682978308745,0.0171506586835819,0.0743181120968867,0.70073022112331,0.0259863087070452,2.60908661262354,0.000219509983074864,0.00788834105055639,1.22010807725746,-0.00185580184482189,0.0260816407773149,0.999829173651952,0.993861230754848,0.250415921019615,0.998555784798278,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
"2","dcaedd304dad3a6294225fc685bbc248",0.0777137794320882,3.76474079696135e-06,0.000586246614453442,-1.6516382890529e-05,0.648588490912133,0.0139682978308723,0.0171506586835813,0.0743181120968865,0.0254367349641807,0.525739968038875,5.56358264786765,0.000219509983051871,0.00788834105055263,-0.000649312221626988,1.23366784026619,0.000239520522817781,0.99982917365197,0.993861230754851,0.999494694380564,0.245535854530633,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
"3","cdc8d6bc9d367a4f4fa09c9b351e865e",0.891427618025518,-0.854979354413048,-0.854396872539392,-0.854999635536735,-0.855031344593484,0.692352396768609,0.691741439214774,0.695980383806699,0.692084737254929,0.692115194686341,1.28753453037217,-1.23598111367099,-1.22761631278489,-1.23539732855255,-1.23538877799233,0.226907122507515,0.244711060149478,0.24770416889121,0.244918995795819,0.244922042442926,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
"4","4bb373c6461f6894ca9833bba0d1d817",0.99262485048016,-0.98147589498135,-0.980893413107693,-0.981496176105036,-0.981527885161786,0.800461276495536,0.79983943189728,0.803577966890442,0.800148786594202,0.800176543427208,1.24006604645002,-1.22709115835064,-1.2206574265636,-1.22664208525858,-1.22663916260009,0.243260069070778,0.247893064184316,0.250216703534119,0.24805468575243,0.248055737897133,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
"5","e3dd8f6d5141301aea9cf4d1012ed4a2",1.19772700715692,-1.23785359082731,-1.23727110895365,-1.23787387195099,-1.23790558100774,1.02019628627171,1.01955943336748,1.02260630021644,1.01982197114876,1.01984600238534,1.17401623910434,-1.21410635840897,-1.20991930979867,-1.21381369196882,-1.2138161821612,0.267590084031261,0.252600739691845,0.25413402661996,0.252707670914753,0.252706760922197,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
"6","cf7a993853d59154863cf54082c7c577",0.99262485048016,-0.98147589498135,-0.980893413107693,-0.981496176105036,-0.981527885161786,0.800461276495536,0.79983943189728,0.803577966890442,0.800148786594202,0.800176543427208,1.24006604645002,-1.22709115835064,-1.2206574265636,-1.22664208525858,-1.22663916260009,0.243260069070778,0.247893064184316,0.250216703534119,0.24805468575243,0.248055737897133,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
"7","7891868bc9f5df75fc46072c222b5dc4",1.01931377276202,-1.01483704783368,-1.01425456596002,-1.01485732895736,-1.01488903801411,0.822860292048763,0.82223655008437,0.825887754815572,0.822539987663059,0.822567273669369,1.23874463576815,-1.23423976680378,-1.22807798038671,-1.233809108589,-1.23380672985788,0.243728675834258,0.245331725647214,0.247538205603236,0.245485421025763,0.245486270175329,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
"8","664b04b9c0f4c12f1b54d1f6ca7432ff",0.0364444988716728,3.76474079755468e-06,0.000586246614454078,-1.65163828895085e-05,0.854934893714208,0.0139682978308723,0.0171506586835802,0.0743181120968863,0.0254367349641799,0.713997043103957,2.60908661262394,0.00021950998308648,0.00788834105056121,-0.000649312221586885,1.19739276509823,0.026081640777297,0.999829173651943,0.993861230754844,0.999494694380595,0.258765896410478,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
"9","05481b1289252832cc27625e3899b377",-0.0256593813953231,3.7647407973093e-06,1.16608876710328,-1.6516382889598e-05,-4.82254396386344e-05,0.0139682978308663,0.0171506586835779,0.903047023742331,0.0254367349641772,0.0259863087070411,-1.83697267240554,0.000219509983072201,1.29128244315659,-0.000649312221590477,-0.00185580184482175,0.0960735610727679,0.999829173651954,0.225655362862799,0.999494694380592,0.998555784798278,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
"10","dfd7b5bad28f6776b621a41ef153638c",0.0777137794320877,3.76474079757204e-06,0.000586246614454004,-1.65163828895085e-05,0.648588490912133,0.0139682978308737,0.0171506586835846,0.0743181120968868,0.0254367349641814,0.519832415897821,5.56358264786703,0.000219509983087436,0.00788834105056017,-0.000649312221586848,1.24768766063181,0.000239520522817988,0.999829173651942,0.993861230754845,0.999494694380595,0.240571505095663,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
